id,year,award,prefix,name,gender,place,state,stateClass,indiaClass,area,areaClass
3710,2011,Padma Shri,Prof.,Karl Harrington Potter,Male,USA,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
3288,2008,Padma Bhushan,Prof.,Kaushik,Male,USA,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
4001,2014,Padma Bhushan,Prof.,Lloyd I. Rudolph,Male,USA,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
4175,2015,Padma Shri,Prof.,Nadarajan Raj Chetty,Male,USA,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
3318,2008,Padma Shri,Dr.,Nirupam,Male,USA,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
3284,2008,Padma Bhushan,Prof. (Smt.),Padma,Female,USA,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
3440,2009,Padma Shri,Dr.,Panchapakesa,Male,USA,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
3141,2007,Padma Vibhushan,Late Prof.,Raja,Male,USA,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
693,1969,Padma Bhushan,Shri,Raja,Male,USA,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
4313,2016,Padma Shri,Shri,Salman,Male,USA,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
4313,2017,Padma Shri,Shri,Salman,Male,USA,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
3610,2010,Padma Shri,Prof.,Sheldon,Male,USA,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
3291,2008,Padma Bhushan,Prof.,Srinivasa,Male,USA,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
1558,1982,Padma Bhushan,Dr. (Smt.),Stella,Female,USA,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
4004,2014,Padma Bhushan,Prof.,Susanne H. Rudolph,Male,USA,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
3539,2010,Padma Bhushan,Prof.,Tan,Male,USA,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
3173,2007,Padma Bhushan,Prof.,Thirukodikaval Nilakanta Srinivasan,Male,USA,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
3785,2012,Padma Bhushan,Prof.,Vidya,Male,USA,Foreign countries,foreign-countries,foreign,Literature and Education,literature-education
1059,1972,Padma Shri,Dr.,Balu Sankaran,Male,Switzerland,Foreign countries,foreign-countries,foreign,Medicine,medicine
362,1963,Padma Shri,Lt. Col.,George William Gregory Bird,Male,United Kingdom,Foreign countries,foreign-countries,foreign,Medicine,medicine
2268,1992,Padma Shri,Dr.,Khalid,Male,United Kingdom,Foreign countries,foreign-countries,foreign,Medicine,medicine
3399,2009,Padma Bhushan,Lord,Khalid,Male,United Kingdom,Foreign countries,foreign-countries,foreign,Medicine,medicine
3196,2007,Padma Shri,Dr.,Sheo Bhagwan Tibrewal,Male,United Kingdom,Foreign countries,foreign-countries,foreign,Medicine,medicine
2566,2001,Padma Bhushan,Dr.,Chitranjan Singh Ranawat,Male,USA,Foreign countries,foreign-countries,foreign,Medicine,medicine
4146,2015,Padma Shri,Dr.,Dattatreyudu Nori,Male,USA,Foreign countries,foreign-countries,foreign,Medicine,medicine
2701,2002,Padma Shri,Dr.,Kamaljit Singh Paul,Male,USA,Foreign countries,foreign-countries,foreign,Medicine,medicine
2446,1999,Padma Shri,Dr.,Raj,Male,USA,Foreign countries,foreign-countries,foreign,Medicine,medicine
